n  SAPSPFA  SAPdijkstra  ScalingCirculation
20 0.00 0.00 0.00
40 0.00 0.00 0.00
60 0.00 0.00 0.01
80 0.00 0.00 0.03
100 0.01 0.01 0.06
120 0.01 0.01 0.09
140 0.02 0.01 0.15
160 0.02 0.02 0.22
180 0.03 0.03 0.31
200 0.05 0.03 0.45
220 0.06 0.04 0.60
240 0.08 0.06 0.81
260 0.10 0.08 1.12
280 0.13 0.10 1.54
300 0.17 0.12 2.00
320 0.21 0.15 2.55
340 0.26 0.18 3.15
360 0.32 0.22 3.83
380 0.38 0.26 4.54
400 0.44 0.30 5.35
420 0.51 0.34 6.21
440 0.58 0.39 7.10
460 0.66 0.45 8.26
480 0.75 0.52 9.51
500 0.85 0.59 10.95
520 0.96 0.69 12.67
540 1.10 0.80 14.76
560 1.21 0.88 16.46
580 1.35 0.99 18.64
600 1.51 1.10 20.98
