n, SAPSPFA, SAPdijkstra, ScalingCirculation
10,0.00,0.00,0.00
20,0.00,0.00,0.01
30,0.01,0.01,0.03
40,0.04,0.02,0.07
50,0.10,0.04,0.16
60,0.26,0.08,0.32
70,0.48,0.14,0.52
80,0.81,0.23,0.77
90,1.32,0.36,1.11
100,1.91,0.51,1.50
110,2.66,0.70,1.96
120,3.80,0.99,2.63
130,4.87,1.27,3.21
140,6.70,1.73,4.19
150,8.14,2.09,4.90
160,10.14,2.60,5.90
170,13.32,3.41,7.56
180,15.87,4.12,9.02
190,20.23,5.29,11.05
200,21.59,5.59,11.71
210,29.33,7.76,15.71
220,36.23,9.73,19.60
230,40.52,10.89,21.63
240,53.49,14.62,28.98
250,58.53,16.04,31.76
