n, SAPSPFA, SAPdijkstra, ScalingCirculation
2,0.00,0.00,0.00
3,0.00,0.00,0.00
4,0.00,0.00,0.00
5,0.00,0.00,0.00
6,0.00,0.00,0.00
7,0.00,0.00,0.00
8,0.00,0.00,0.00
9,0.00,0.00,0.00
10,0.00,0.00,0.00
11,0.01,0.01,0.00
12,0.01,0.00,0.00
13,0.01,0.01,0.00
14,0.02,0.01,0.00
15,0.04,0.03,0.00
16,0.08,0.07,0.00
17,0.17,0.15,0.00
18,0.37,0.31,0.00
19,0.79,0.66,0.00
20,1.73,1.36,0.00
21,3.60,2.82,0.00
22,7.77,5.94,0.00
23,16.94,12.29,0.00
24,34.89,25.42,0.00
25,75.13,53.07,0.00
26,160.77,109.48,0.00
27,338.61,225.01,0.00
28,718.33,472.40,0.00
29,1532.67,977.43,0.00
