n  SAPSPFA  SAPdijkstra  ScalingCirculation
50 0.00 0.00 0.00
100 0.00 0.00 0.02
150 0.00 0.00 0.06
200 0.01 0.01 0.11
250 0.01 0.01 0.18
300 0.02 0.02 0.27
350 0.02 0.03 0.37
400 0.03 0.04 0.51
450 0.04 0.05 0.66
500 0.05 0.06 0.79
550 0.06 0.08 1.02
600 0.08 0.10 1.28
650 0.10 0.11 1.47
700 0.13 0.14 1.83
750 0.15 0.17 2.11
800 0.16 0.17 2.30
850 0.18 0.20 2.60
900 0.22 0.24 3.04
950 0.25 0.26 3.37
1000 0.26 0.28 3.64
1050 0.33 0.35 4.49
1100 0.35 0.38 4.81
1150 0.40 0.42 5.33
1200 0.41 0.44 5.60
1250 0.50 0.51 6.43
1300 0.50 0.52 6.68
1350 0.54 0.57 7.23
1400 0.59 0.62 7.86
1450 0.62 0.65 8.34
1500 0.74 0.74 9.39
1550 0.76 0.77 9.79
1600 0.86 0.85 10.74
1650 0.86 0.87 11.12
1700 0.91 0.92 11.84
1750 1.01 1.00 12.72
1800 1.03 1.03 13.20
1850 1.17 1.14 14.44
1900 1.24 1.21 15.31
1950 1.37 1.32 16.49
2000 1.32 1.30 16.53
2050 1.43 1.50 19.03
2100 1.45 1.54 19.56
2150 1.56 1.64 20.83
2200 1.54 1.65 21.15
2250 1.65 1.76 22.46
2300 1.83 1.91 24.18
2350 2.00 2.05 25.71
2400 2.04 2.10 26.67
2450 2.04 2.13 27.21
2500 2.18 2.26 28.60
