n, SAPSPFA, SAPdijkstra, ScalingCirculation
100,0.00,0.00,0.01
200,0.01,0.01,0.03
300,0.02,0.01,0.08
400,0.03,0.03,0.14
500,0.06,0.04,0.22
600,0.09,0.07,0.35
700,0.12,0.09,0.49
800,0.17,0.12,0.64
900,0.22,0.16,0.84
1000,0.28,0.20,1.06
1100,0.36,0.26,1.37
1200,0.40,0.30,1.52
1300,0.50,0.36,1.86
1400,0.58,0.42,2.13
1500,0.68,0.48,2.54
1600,0.74,0.54,2.86
1700,0.87,0.62,3.26
1800,1.00,0.70,3.72
1900,1.09,0.77,4.03
2000,1.19,0.85,4.39
2100,1.36,1.02,5.29
2200,1.49,1.12,5.90
2300,1.65,1.24,6.59
2400,1.76,1.33,7.01
2500,1.90,1.43,7.55
2600,2.06,1.56,8.13
2700,2.28,1.70,8.74
2800,2.46,1.84,9.45
2900,2.60,1.95,10.29
3000,2.81,2.10,11.03
3100,3.04,2.26,12.08
3200,3.22,2.41,12.73
3300,3.45,2.58,13.68
3400,3.66,2.72,13.77
3500,3.99,2.93,15.72
3600,4.10,3.10,16.29
3700,4.40,3.27,17.09
3800,4.53,3.39,17.54
3900,4.88,3.63,19.63
4000,5.18,3.85,20.61
